epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2330.43,1.4482,3.22898,5.4506,1.29218,0.50207,0.02862,0.02082,0.01365,0.50158,0.02563,0.01818,0.01077,1.56786,3.21956,3.97419,1.3884,0.00333226,0.00333226,0.00333226
2,4378.84,1.53871,3.26099,3.86489,1.37552,0.26816,0.03993,0.02869,0.01847,0.26765,0.0352,0.02421,0.0141,1.51485,3.20856,3.18458,1.39747,0.00658311,0.00658311,0.00658311
3,6211.78,1.55233,3.34675,3.64474,1.39372,0.23252,0.0411,0.02943,0.01914,0.23195,0.0363,0.02569,0.01516,1.51584,3.26092,3.08573,1.38911,0.00975145,0.00975145,0.00975145
4,8365.36,1.53816,3.36113,3.53409,1.37742,0.28244,0.05165,0.03766,0.02479,0.2793,0.04586,0.03274,0.01928,1.44552,3.1529,2.84625,1.33892,0.00962875,0.00962875,0.00962875
5,10255.4,1.49244,3.28427,3.33837,1.34299,0.30266,0.05802,0.04349,0.02927,0.30314,0.05179,0.03803,0.0227,1.40029,3.07941,2.72499,1.3031,0.009505,0.009505,0.009505
6,12042.4,1.4649,3.23284,3.20415,1.32346,0.33929,0.06297,0.04849,0.03296,0.33619,0.05635,0.04224,0.02555,1.37793,3.03979,2.64133,1.28329,0.00938125,0.00938125,0.00938125
7,13935.4,1.45101,3.20681,3.09849,1.3123,0.35394,0.06625,0.05182,0.03527,0.35003,0.0595,0.04505,0.02726,1.3624,3.01412,2.5871,1.27083,0.0092575,0.0092575,0.0092575
8,15860.4,1.44038,3.18783,3.02019,1.3023,0.37514,0.06966,0.05466,0.03746,0.37493,0.06214,0.0473,0.02861,1.35224,2.99603,2.55311,1.26327,0.00913375,0.00913375,0.00913375
9,17916.6,1.43423,3.173,2.97444,1.29689,0.38444,0.07111,0.05692,0.03929,0.38246,0.0633,0.04959,0.03034,1.3448,2.98423,2.52828,1.25848,0.00901,0.00901,0.00901
10,19757.6,1.42887,3.16306,2.94148,1.29226,0.39292,0.07226,0.05802,0.0401,0.39415,0.06421,0.05052,0.03089,1.33996,2.97682,2.51123,1.25489,0.00888625,0.00888625,0.00888625
11,21578.4,1.42157,3.14711,2.90911,1.28855,0.4015,0.0726,0.05973,0.04144,0.39906,0.06513,0.05216,0.03199,1.33594,2.97007,2.4983,1.25175,0.0087625,0.0087625,0.0087625
12,23504.3,1.41738,3.14406,2.89363,1.28445,0.40979,0.07354,0.06101,0.04233,0.40624,0.06561,0.05325,0.03266,1.33281,2.96486,2.48882,1.2492,0.00863875,0.00863875,0.00863875
13,25278.7,1.41493,3.1361,2.8801,1.28144,0.415,0.07455,0.06166,0.04281,0.41231,0.0659,0.05382,0.03298,1.32961,2.96085,2.47997,1.2465,0.008515,0.008515,0.008515
14,27014.8,1.40967,3.12689,2.84932,1.27895,0.42064,0.07542,0.06241,0.04334,0.4181,0.06656,0.05441,0.03338,1.32696,2.95716,2.47166,1.24401,0.00839125,0.00839125,0.00839125
15,28600.5,1.40622,3.12448,2.84474,1.27529,0.42652,0.07535,0.06302,0.04373,0.42139,0.06757,0.05494,0.0337,1.32446,2.95395,2.46365,1.24192,0.0082675,0.0082675,0.0082675
16,32381.4,1.405,3.1178,2.83275,1.27442,0.43762,0.07549,0.06385,0.04428,0.43165,0.06784,0.05566,0.0341,1.32251,2.95081,2.45624,1.24,0.00814375,0.00814375,0.00814375
17,34382.6,1.40305,3.11686,2.81829,1.27311,0.44362,0.07646,0.06458,0.04484,0.44049,0.06827,0.05628,0.03447,1.32035,2.94687,2.44824,1.23812,0.00802,0.00802,0.00802
18,36116.2,1.39911,3.10437,2.80708,1.27092,0.44177,0.07662,0.06502,0.04513,0.43599,0.0689,0.05663,0.03465,1.31847,2.9427,2.4408,1.23634,0.00789625,0.00789625,0.00789625
19,37862.9,1.39871,3.1091,2.80489,1.26934,0.43997,0.07807,0.06558,0.04553,0.43605,0.06988,0.05713,0.03491,1.31658,2.93938,2.4334,1.23442,0.0077725,0.0077725,0.0077725
20,39769.2,1.39475,3.10056,2.79243,1.26714,0.43716,0.079,0.06639,0.04606,0.43255,0.07069,0.0576,0.03521,1.31483,2.93557,2.42615,1.23293,0.00764875,0.00764875,0.00764875
21,42988.2,1.39608,3.10315,2.78858,1.26542,0.4395,0.07963,0.06704,0.04657,0.43449,0.07129,0.05826,0.03563,1.31322,2.93216,2.41873,1.23132,0.007525,0.007525,0.007525
22,44705.3,1.38983,3.09504,2.77369,1.26339,0.43941,0.08062,0.06768,0.04699,0.43773,0.07207,0.05871,0.03586,1.31159,2.92968,2.41221,1.22986,0.00740125,0.00740125,0.00740125
