epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.769,0.55917,1.63431,1.19947,0.26571,0.38949,0.28012,0.14095,1.95676,2.00117,2.50295,0.000195735,0.000195735,0.000195735
2,1089.75,0.36119,0.86786,1.04321,0.29924,0.42945,0.31971,0.17749,1.84049,1.77293,2.43954,0.000372344,0.000372344,0.000372344
3,1482.56,0.33264,0.80204,1.02454,0.32821,0.37425,0.33897,0.18422,1.9422,2.14799,2.53796,0.000529549,0.000529549,0.000529549
4,2272.87,0.30046,0.75694,1.00927,0.30348,0.33524,0.27117,0.16271,1.91692,2.19346,2.4903,0.000500682,0.000500682,0.000500682
5,2918.38,0.28245,0.72216,1.00014,0.33577,0.39955,0.33288,0.19621,1.99522,1.94656,2.50655,0.000471576,0.000471576,0.000471576
6,3539.39,0.25624,0.68414,0.97934,0.36128,0.47061,0.4103,0.22751,1.8187,1.46555,2.30634,0.00044247,0.00044247,0.00044247
7,4345.69,0.24077,0.65252,0.97018,0.29796,0.4215,0.34383,0.18935,1.94537,1.72299,2.4045,0.000413364,0.000413364,0.000413364
8,5119.19,0.22639,0.62285,0.96509,0.29596,0.40554,0.3408,0.20578,1.90076,2.20789,2.42706,0.000384258,0.000384258,0.000384258
9,5922.71,0.21333,0.6049,0.95993,0.33601,0.43178,0.379,0.23848,1.77059,1.81114,2.3143,0.000355152,0.000355152,0.000355152
10,6791.29,0.20199,0.57577,0.94936,0.35573,0.42545,0.37031,0.22577,1.85222,1.69495,2.25155,0.000326046,0.000326046,0.000326046
11,7425.32,0.24156,0.53742,0.98689,0.3258,0.43783,0.35183,0.21991,1.83514,1.84188,2.33339,0.00029694,0.00029694,0.00029694
12,8183.09,0.21425,0.5076,0.96203,0.35721,0.46631,0.40607,0.24679,1.71928,1.5497,2.14659,0.000267834,0.000267834,0.000267834
13,8885.35,0.20262,0.47793,0.95502,0.34602,0.40981,0.37121,0.23171,1.78778,1.77077,2.22701,0.000238728,0.000238728,0.000238728
14,9717.47,0.17882,0.44114,0.92762,0.37311,0.46125,0.4206,0.27354,1.59621,1.4782,2.05156,0.000209622,0.000209622,0.000209622
15,10470.4,0.17281,0.43198,0.91979,0.36441,0.45436,0.40226,0.26438,1.6302,1.68535,2.07172,0.000180516,0.000180516,0.000180516
16,11376.1,0.16329,0.4011,0.92278,0.35414,0.46156,0.39002,0.25042,1.67104,1.67584,2.09749,0.00015141,0.00015141,0.00015141
17,12635.2,0.1534,0.37941,0.91001,0.38292,0.42788,0.39054,0.23896,1.72806,1.66243,2.13492,0.000122304,0.000122304,0.000122304
18,13401.8,0.14585,0.37229,0.90293,0.38682,0.47288,0.4235,0.26851,1.55647,1.41286,2.00449,9.3198e-05,9.3198e-05,9.3198e-05
19,14092.5,0.13377,0.33465,0.89858,0.39498,0.46511,0.43126,0.27872,1.58234,1.46853,2.03272,6.4092e-05,6.4092e-05,6.4092e-05
20,14894.7,0.12644,0.31137,0.88664,0.3827,0.47413,0.43581,0.27886,1.54754,1.40882,2.01776,3.4986e-05,3.4986e-05,3.4986e-05
